,Name,Manufacturer,Image,Description
92,Twizzlers,"Y&S Candies, Inc.",,A fruit flavored chewy candy
93,Opera cream,,,"A chocolate candy that is most popularly associated with Cincinnati, Ohio, though they are sold in other Ohio cities, as well as Kentucky."
94,Saladitos,De La Rosa,,"Considered as a candy in Mexico, Saladitos are salted plums, which can also be sweetened with sugar and anise or coated in chili and lime. They originated in China."
95,Cadbury Caramilk,Cadbury Adams,,A caramel-filled chocolate bar that was first manufactured in 1968.
96,Coffee Crisp,NestlÃ©,,A coffee-flavoured wafer candy bar covered in chocolate.
97,Maple taffy,traditional,,"Boiled maple syrup poured onto fresh snow, which hardens it, and rolled around a stick."
98,PiÅmaniye,,,Turkish cotton candy (and also Bosnian) is a sweet in fine strands made by blending flour roasted in butter into pulled sugar.
99,Hanukkah gelt,"Carmit, Strauss,Steenland Chocolate[25]",,"The term ""Hanukkah gelt"" refers to both money and chocolate coins given to Jewish children on the festival of Hanukkah."
100,Klik,Unilever,,Chocolate-covered corn flakes and malted milk balls
101,Pesek Zman,Strauss,,Manufactured in Israel
102,Rock candy,Various,,Candied sugar has its origins in Iran. It is a type of confectionery made of a crystallized supersaturated solution of water and sugar.
103,Rahat-lokum,,,Rose and walnut Turkish delight.
104,Tablet,,,"A medium-hard, sugary confection from Scotland. Tablet is usually made from sugar, condensed milk, and butter, boiled to a soft-ball stage and allowed to crystallize. It is often flavored with vanilla, and sometimes has nut pieces in it.[24]"
105,Aero,,,Aero is an aerated chocolate bar originally produced by Rowntree's.
106,Aniseed twist,,,Red or orange aniseed-flavoured boiled sweets.
107,Bounty,,,The chocolate bar consists of a coconut flavoured filling coated with milk or dark chocolate
108,Crunchie,,,Crunchie is a brand of chocolate bar with a honeycomb toffee
109,Kit Kat,NestlÃ©,,Chocolate-covered wafer bar confection created by Rowntree's of York.
110,Mars,Mars,,Mars is a British chocolate bar.
111,Maltesers,,,Maltesers consist of a spheroid malted milk centre surrounded by milk chocolate.
112,Pink shrimps,Barratt's,,"A strawberry-flavoured, shrimp-shaped pink sweet, with a light foamy consistency."
113,Skittles,,,"Skittles is a brand of fruit-flavored candy, coated in candy shells. First made commercially in 1974 by a British company."
114,Smarties,,,"Similar to M&M's, Smarties are circular chocolate candies, coated in candy shells. First manufactured in 1947 by H.I. Rowntree & Company."
115,Starburst,The Wrigley Company,,"Square-shaped soft, chewy fruit-flavoured candies."
116,Wine gums,,,"Chewy, firm pastille-type sweets similar to gumdrops without the sugar coating"
117,Ricola,Ricola ltd,,Cough drops and breath mints.
118,Toblerone,Mondelez International,,Chocolate bar shaped as triangular prisms.
119,Polkagris,,,White-and-red striped candy sticks with peppermint flavour.
120,Ahlgrens bilar,Cloetta,,"Car-shaped soft, foamy fruit-flavoured candies."
121,LÃ¤kerol,Cloetta,,Soft sugarfree breath mints in various flavours.
122,Daim,"Marabou, Mondelez International",,A soft chocolate covered caramel sweet.
123,Swedish Fish,"Malaco, Mondelez International",,Fish-shaped chewy fruit and liquorice flavoured candies.
124,Lakrisal,Malaco,,"Hard, brittle disc-shaped candies with a salty liquorice flavour."
125,TurrÃ³n,,,Traditional Spaniard nougat. A well known type is TurrÃ³n de Jijona
126,Pastila,,,A fruit-based candy produced in the town of Kolomna since the 14th century.[23]
127,Hematogen,,,"A nutrition bar produced in the USSR and ex-USSR countries and having sugar, milk and bovine serum albumin as main ingredients."
128,Curd snack,,,"A snack made from milled and pressed curd cheese, glazed with chocolate or cream."
129,Kamasutra,SC Pralin SRL at CisnÄdie,,Chocolate shaped like kamasutra positions. The Kamasutra chocolate was invented in 2007 by Florin Balan.
130,Rahat,,,Fruit flavored Turkish delight
131,Queijadinha,,,"Originating in Portugal, and common in Brazil. Traditionally prepared with grated coconut, cheese, sweetened condensed milk, sugar, butter and egg yolks."
132,KrÃ³wki,,,"Fudge, semi-soft milk toffee candies."
133,Miodek turecki,,,"a candy traditionally sold in KrakÃ³w, Poland on the gates of cemeteries during All Saints' Day and All Souls' Day.[22]"
134,Ptasie mleczko,,,Soft chocolate-covered candy filled with soft meringue or milk soufflÃ©.
135,Prince Polo,Kraft Jacobs Suchard,,"Introduced in 1955, it is a candy of the Polish People's Republic. It is a chocolate-covered wafer, with four layers of wafer joined by three layers of chocolate-flavored filling."
136,Hopje,Rademaker,,"Sweet made of coffee, caramel, cream and butter."
137,Mentos,Perfetti Van Melle,,Scotch-mints
138,Ferrero Rocher,Ferrero SpA,,Spherical chocolate introduced in 1982 by the Italian chocolatier Michele Ferrero.
139,Jordan almonds,,,"Almonds that are sugar panned in various pastel colors.[20] In Sulmona, Italy, the technique of creating the dragÃ©e almonds was perfected by the Pelino family.[21] Jordan Almonds are thought to originate from Ancient Greece, where honey-covered almonds were commonly eaten at festivities."
140,Raffaello,Ferrero SpA,,Spherical coconut-almond confection.
141,TÃºrÃ³ Rudi,,,"A chocolate bar popular in Hungary since 1968. The bar is composed of a thin outer coating of chocolate and an inner filling of tÃºrÃ³ (curd). The ""Rudi"" in the product name comes from the Hungarian ""rÃºd"", which translates to rod or bar (and is also a nickname for the name Rudolf). TÃºrÃ³ Rudi can be made in different flavors and sizes."
142,Sport szelet,,,A chocolate bar produced in Hungary in the 1950s. It has a dark chocolate coating and an inner filling of rum.
143,Negro,GyÅri Keksz Kft.,,"A Hungarian candy, its black color is derived from molasses, and menthol is used to add flavor. Its full recipe is an industrial secret.[18][19]"
144,Szaloncukor,,,"Christmas candy made of fondant, covered by chocolate, and wrapped in shiny coloured foil"
145,Akanes,,,"Akanes is a Greek sweet similar to loukoumi, only that it is flavoured with fresh butter from buffalo rather than fruit essences."
146,Fraise Tagada,"Haribo, others",,"Invented in 1969 by the Haribo Company, which invented the gummy bear. The Fraise Tagada is presented in the shape of an inflated strawberry covered in fine sugar, colored pink and scented. In France, the Fraise Tagada is one of the most widely sold candies (1 billion Fraises annually) and also one of the most imitated."
147,Gummi bears,"Various (Haribo, Trolli)",,"Gelatin based, chewy, fruit flavored"
148,Gummi worms,Various (Trolli),,"Gelatin based, chewy, fruit flavored"
149,Milka,MondelÄz International,,"A milk chocolate candy that was first created in 1901. The candy's packaging is unique and includes its iconic lilac-colored cow, which helps tie the candy back to its Alpine heritage.[17]"
150,Nappo,WAWI chocolate AG,,"A diamond-shaped, chocolate-covered nougat produced in Germany since 1925."
151,Maoam,Haribo,,Rectangular fruit-flavoured chewy toffee candies.
152,Churchkhela,,,"Candle-shaped candy made of grape must, nuts and flour."
153,Anis de Flavigny,,,
154,Bergamote de Nancy,LefÃ¨vre-Denise,,"Shiny, small candy squares made from sugar and bergamot essential oil."
155,Berlingot,,,
156,BÃªtise de Cambrai,,,
157,Cachou Lajaunie,MondelÄz International,,Hard licorice candies with mint extract.
158,Calisson,,,"This traditional French candy consists of a smooth, pale yellow, homogeneous paste of candied fruit (especially melons and oranges) and ground almonds topped with a thin layer of royal icing. The calisson is believed to have its origins in medieval Italy."
159,Carambar,Delespaul-Havez company,,"A chewy caramel candy. In 1972, the name changed to ""Super Caram'bar"". In 1977, the name lost its apostrophe."
160,Caramel mou au beurre salÃ©,,,
161,Chocolate truffle,Various,,"The chocolate truffle is thought to have been first created by N. Petruccelli in ChambÃ©ry, France in December 1895.[15] They are traditionally made with a chocolate ganache centre coated in chocolate, icing sugar, cocoa powder or chopped toasted nuts (typically hazelnuts, almonds or coconut), usually in a spherical, conical, or curved shape."
162,Cocon de Lyon,,,
163,Coucougnette,Maison Francis Miot,,"Confection made with almonds, marzipan, and chocolate."
164,Hollywood,Mondelez International,,"The first French chewing gum, it was created in 1952. The French were introduced to chewing gum for the first time by the American troops stationed there in 1944. In 1958, the gum's main advertising focus was that of the American Dream. While Hollywood now offers a variety of different flavors, the very first flavor was spearmint.[16]"
165,Macaron,,,"A sweet meringue-based cookie sandwich, with ganache, jam, or buttercream, between two halves. Traditionally believed to have been introduced to France by the Italian chef of queen Catherine De Medici during the Renaissance period."
166,Marron glacÃ©,,,"A marron glacÃ© (plural marrons glacÃ©s) is a confection, originating in southern France and northern Italy consisting of a chestnut candied in sugar syrup and glazed. Marrons glacÃ©s are an ingredient in many desserts and are also eaten on their own."
167,Niniche de Quiberon,,,
168,Nougat de MontÃ©limar,,,
169,PÃ¢te de fruits,,,
170,Vichy Pastilles,Eurazeo,,"a French confectionery produced in the town of Vichy, department of Allier, France. They were invented in 1825."
171,Violette de Toulouse,Candiflor,,
172,Salmiakki,,,"Salty liquorice, is a variety of liquorice flavoured with ammonium chloride, common in the Nordic countries, the Netherlands, and northern Germany."
173,Geisha,Fazer,,Fazer Geisha is soft milk chocolate contains hazelnut nougat filling.
174,Dumle,Fazer,,Fazer Dumle is milk chocolate that contains toffee inside it.
175,Marianne,Fazer,,Fazer Marianne has a hard cover and a chocolate heart inside it.
176,Turkish Peber,Fazer,,Fazer Tyrkisk Peber has a hard and thick cover and contains salmiakki powder.
177,London drops,Fazer,,"Pastel-coloured liquorice drops with a hard, sugary aniseed-flavoured coating."
178,Pirate coins,Fazer,,Coin-shaped salty liquorice and fruit flavoured candies with pirate-inspired images.
179,Finlandia,Fazer,,Spherical fruit-flavoured marmalade candies.
180,VihreÃ¤t kuulat,Fazer,,Spherical pear-flavoured marmalade candies.
181,Kiss-Kiss,Fazer,,Oblong pink toffee-filled candies.
182,Hopeatoffee,Cloetta,,Chewy toffee candy bar with a salty liquorice flavour.
183,Aakkoset,Cloetta,,"Lozenge-shaped soft, chewy candies in various flavours decorated with capital letters."
184,Mynthon,Cloetta,,Small disc-shaped hard breath mint pastilles.
185,Manalan makeiset,Poppamies,,Hard fruit-flavoured candies containing strong chili extract.
186,Sisu,Leaf International,,"Small black chewy, liquorice-flavoured breath mints made with gum arabic."
187,Dracula Piller,Scan Choco A/S,,Disc-shaped hard salty liquorice candies.
188,Kongen af Danmark,,,Red aniseed-flavoured hard candies containing beetroot juice.
189,Spunk,,,Small pastilles with fruit and salty liquorice flavours.
190,Lokum,,,"Plain or spiced Turkish delight with rose petals, white walnuts, or ""endreshe""."
191,Cuberdon,"Confiserie Geldhof, Eeklo",,This cone-shaped candy with a melty core and a crisp crust is traditionally flavored with raspberry.
192,Vanparys,Vanparys,,"Vanparys manufactures a type of chocolate dragÃ©e: a Belgian dark chocolate, coated with thin layers of sugar, and made in 50 colors in three finishes: matte, glossy, or pearlescent."
